CIK,form,index link,description,filing date
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095012310018372/0000950123-10-018372-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950123-10-018372\xc2\xa0(34 Act)\xc2\xa0 Size: 5 MB'",2010_02_26
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013309000538/0000950133-09-000538-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-09-000538\xc2\xa0(34 Act)\xc2\xa0 Size: 4 MB'",2009_03_02
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013308000898/0000950133-08-000898-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-08-000898\xc2\xa0(34 Act)\xc2\xa0 Size: 2 MB'",2008_02_29
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013307000859/0000950133-07-000859-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-07-000859\xc2\xa0(34 Act)\xc2\xa0 Size: 2 MB'",2007_03_01
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013306001171/0000950133-06-001171-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-06-001171\xc2\xa0(34 Act)\xc2\xa0 Size: 1 MB'",2006_03_13
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013305001056/0000950133-05-001056-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-05-001056\xc2\xa0(34 Act)\xc2\xa0 Size: 2 MB'",2005_03_16
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013304000844/0000950133-04-000844-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-04-000844 Size: 2 MB'",2004_03_12
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013303001096/0000950133-03-001096-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-03-001096 Size: 1 MB'",2003_03_31
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013302001128/0000950133-02-001128-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-02-001128 Size: 1 MB'",2002_03_22
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/000095013301000963/0000950133-01-000963-index.htm,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-01-000963 Size: 350 KB'",2001_03_21
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/0000950133-00-001182-index.html,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-00-001182 Size: 557 KB'",2000_03_29
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/0000950133-98-000966-index.html,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-98-000966 Size: 1 MB'",1998_03_26
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/0000950133-97-001118-index.html,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-97-001118 Size: 242 KB'",1997_03_31
3906,10-K,https://www.sec.gov/Archives/edgar/data/3906/0000950133-96-000301-index.html,"b'Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950133-96-000301 Size: 252 KB'",1996_03_29
